page_name,page_created,total_interactions,likes,comments,shares,message
Oklahoma City Public Schools,2009-10-14T16:14:51Z,12,3,9,0,"UPDATE!!! OKCPS Cancels Classes for February 1, 2010. OKCPS Board of Education meeting scheduled for 2/1/2010 at 5:30pm has NOT been cancelled."
L'Anse Purple Hornet Football,2010-01-01T22:14:34Z,0,0,0,0,"""When I went to Catholic high school in Philadelphia, we just had one coach for football and basketball. He took all of us who turned out and had us run through a forest. The ones who ran into the trees were on the football team."" ~George Raveling (Washington State)"
Springdale School District,2009-08-24T16:50:44Z,131,98,33,0,"Springdale Schools will be closed tomorrow, February 1."
Bethel Hill Charter School,2009-07-31T15:37:33Z,0,0,0,0,"There is no school for BHCS tomorrow. Please note that we ALWAYS follow the same weather cancellation schedule as Person County School incase you do not see an immediate response on FB, web site or recording at the schools."
Chapel Hill-Carrboro City Schools,2009-07-27T14:48:50Z,7,2,5,0,"CHCCS schools closed Monday, February 1. Make-up day scheduled for Monday, February 22."
Iredell-Statesville Schools,2009-11-02T22:47:08Z,15,13,2,0,Closed for everyone on Monday. Stay safe and stay warm!
Norfolk Public Schools,2009-12-02T21:08:17Z,5,5,0,0,"All Norfolk Public Schools will be closed Monday, only essential personnel report. The Leadership Associates Program (LAP) event scheduled for Monday night, Tuesday, and Wednesday will be postponed. The makeup dates will be announced at a later time. Stay tuned to www.npsk12.com for updates."
Ripon Area School District,2009-10-23T16:13:09Z,0,0,0,0,"Superintendent Zimman will be speaking to the Ripon Noon Kiwanis on February 2 regarding ""The Looming Crisis in Wisconsin Public Education."""
Leonardo da Vinci Health Sciences Charter School,2009-10-03T03:08:07Z,0,0,0,0,At our Monday morning assembly we will be treated to a performance by a ventriloquist. Join us at 8:45 and enjoy the show!
Roanoke City Public Schools,2008-07-18T13:50:50Z,44,32,12,0,"Roanoke City Public Schools will be closed on Monday, February 1, 2010."
Newport News Public Schools,2009-03-25T13:10:32Z,26,12,14,0,"Monday, February 1 Closings: - Due to weather and road conditions, all schools and offices are CLOSED Monday, and all activities are cancelled. - Plant Services and Custodial Staff should report on Monday. - All other employees, including 12-month and central office staff, do not report. More details are available on http://www.nnschools.org/closings.:=:http://sbo.nn.k12.va.us/404.html"
South Valley Preparatory School,2009-10-10T03:38:43Z,1,1,0,0,The most exciting part of opening this school is that SVPS will offer choice to a community that is ready to embrace change. :)
South Valley Preparatory School,2009-10-10T03:38:43Z,0,0,0,0,South Valley Preparatory School is continuing to accept applications for its first year. Please visit the school webpage to download an application!
South Valley Preparatory School,2009-10-10T03:38:43Z,0,0,0,0,New Mexico Charter Schools Making an Impact on Education System. http://albuquerque.bizjournals.com/albuquerque/stories/2009/09/21/focus1.html:=:https://www.bizjournals.com/albuquerque/stories/2009/09/21/focus1.html
Woodbridge Township School District,2010-01-27T19:44:48Z,1,1,0,0,"The Woodbridge Township Board of Education will conduct a 2010-2011 budget workshop on Monday, February 1, 2010 at 6:30 p.m. The workshop will be held in Avenel Middle School, 85 Woodbine Avenue, Avenel. No formal action will be taken."
Woodbridge Township School District,2010-01-27T19:44:48Z,0,0,0,0,"Please also contact: NJ Senate President Stephen M. Sweeney 935 Kings Highway, Suite 400 West Deptford, NJ 08086 (856) 251-9801 NJ Assembly Speaker Assemblywoman Sheila Y. Oliver 15-33 Halsted Street Suite 202 East Orange, NJ 07018 (973) 395-1166 Fax (973) 395-1724 email: AswOliver@njleg.org"
Woodbridge Township School District,2010-01-27T19:44:48Z,0,0,0,0,"Please contact the following state officials to make them aware of our severe lack of funding. Office of the Governor Governor- Chris Christie P.O.Box 001 Trenton, NJ 08625 Telephone (609) 292-6000 Commissioner of Education - Bret Schundler, Commissioner 100 River View Plaza P.O. Box 500 Trenton, NJ 08625 Telephone (609) 292-4450 Fax (609) 777-4099"
Woodbridge Township School District,2010-01-27T19:44:48Z,0,0,0,0,"The level of financial assistance coming from Trenton over the years has been woefully inadequate – in blunt terms, the State has underfunded Woodbridge’s educational needs when compared to other similarly situated school districts across the state."
Duluth Public Schools,2009-12-25T00:11:28Z,0,0,0,0,http://www.goduluthschools.com/?p=3724
Duluth Public Schools,2009-12-25T00:11:28Z,0,0,0,0,http://www.goduluthschools.com/?p=3733
Duluth Public Schools,2009-12-25T00:11:28Z,0,0,0,0,http://www.goduluthschools.com/?p=3738
Duluth Public Schools,2009-12-25T00:11:28Z,0,0,0,0,http://www.goduluthschools.com/?p=3742
Duluth Public Schools,2009-12-25T00:11:28Z,0,0,0,0,http://www.goduluthschools.com/?p=3752
Duluth Public Schools,2009-12-25T00:11:28Z,0,0,0,0,http://www.goduluthschools.com/?p=3760
Duluth Public Schools,2009-12-25T00:11:28Z,0,0,0,0,http://www.goduluthschools.com/?p=3765
Duluth Public Schools,2009-12-25T00:11:28Z,0,0,0,0,http://www.goduluthschools.com/?p=3771
Duluth Public Schools,2009-12-25T00:11:28Z,0,0,0,0,http://www.goduluthschools.com/?p=3782
Duluth Public Schools,2009-12-25T00:11:28Z,0,0,0,0,http://www.goduluthschools.com/?p=3789
BakerRipley,2009-01-21T21:41:21Z,2,1,1,0,Check out the latest photo contest entries - they're great!
Pulaski County Special School District,2010-01-12T16:48:17Z,4,4,0,0,"How does Superintendent Rob McGill decide to close school for inclement weather? Drivers head out at 3 a.m. to test the roads, for starters. We've got such a big district that it might be icy in one area but fine in another. Channel 11's Pam Baccam rode with one of our drivers to get the ""story."" Check it out here!"
Duluth Public Schools,2009-12-25T00:11:28Z,0,0,0,0,"Dyami Starks scored 30 points to lead Duluth East past host North St. Paul 61-56 in a high school boys basketball game Saturday night. Sophomore forward Johnny Woodard added 14 points for the Greyhounds, who will play host to Cloquet on Thursday at 7:30 p.m."
Clearfield High School,2009-01-21T23:25:16Z,4,4,0,0,"needs just 90 more fans to break 2,000!!!"
Nodaway Valley CSD,2009-08-03T00:20:40Z,1,1,0,0,Congratulations to the NV Jazz Band on their I Rating at the State Jazz Band Contest on Saturday.
Springdale School District,2009-08-24T16:50:44Z,2,1,1,0,The Southwest Junior High kiddie cheerleading clinic has been postponed from Sunday until Tuesday from 4:30-6:30 p.m. at the All Star Sports Arena.
Wolf Creek Online High School,2009-01-23T17:25:37Z,0,0,0,0,"wants to share news from current and past students. Send info to Stacy Bender, and she will post it! :)"
Duluth Public Schools,2009-12-25T00:11:28Z,0,0,0,0,Duluth Denfeld lost to Warroad 5-1 in a non-conference high school boys hockey game Saturday afternoon at Heritage Arena. Senior forward Keith Tomassoni scored for the Hunters.
San Diego Unified School District,2009-06-05T23:27:03Z,0,0,0,0,Priority-Based Budget Process
Arts Council of Fayetteville,2009-01-05T20:06:07Z,0,0,0,0,"On Monday take a look at the exhibit ""Art of the Masters."" Come to the Arts Council building at 301 Hay Street."
What's up at GHS,2009-10-30T01:17:09Z,1,1,0,0,"Summer finished in 17th, Jennifer finished in 28th, and Ethan finished 68th in the individual bowling tournament."
BakerRipley,2009-01-21T21:41:21Z,0,0,0,0,Have a great photo you took last year? You can submit it! Neighborhood Centers' Houston Photo Contest http://contest.neighborhood-centers.org/
Duluth Public Schools,2009-12-25T00:11:28Z,0,0,0,0,"Anne Mahoney scored 17 points and Alex Freeman added 11, but Duluth East couldn't overcome a 30-22 halftime deficit and lost to host Grand Rapids 54-42 in a high school girls basketball game Friday. Macie Dorow added six points for the Greyhounds."
Corpus Christi Independent School District,2009-07-17T16:29:42Z,3,2,1,0,"Matthew Ryan Beveridge Baseball Field Dedication today, 1 p.m. at King HS Baseball Field."
Leonardo da Vinci Health Sciences Charter School,2009-10-03T03:08:07Z,1,1,0,0,"It's been a big debate but a 2002 study showed that kids who are offered flavored milk options met their calcium requirements better than others who are not offered those options. Everything in moderation. Thanks for fighting to keep the chocolate milk in our students hands, Mrs. Haase!"
Duluth Public Schools,2009-12-25T00:11:28Z,0,0,0,0,http://www.goduluthschools.com/?p=3637
Clearfield High School,2009-01-21T23:25:16Z,5,4,1,0,"is a bit sad that the boys lost again last night to Weber, but is so happy that the girls SMOKED the Warriors!! Good job Lady Falcons!!"
Bryan ISD,2009-06-18T16:28:31Z,3,3,0,0,Today's Eagle highlights the five Bryan schools recognized for higher-achieving performance.
Duluth Public Schools,2009-12-25T00:11:28Z,0,0,0,0,Tom Pearson and Shawn Roed have been retained as Duluth Public Schools activities directors. Pearson will serve at Duluth Denfeld and Roed at Duluth East. Duluth Denfeld and Duluth Central will combine schools in the 2010-11 academic school year.
Leonardo da Vinci Health Sciences Charter School,2009-10-03T03:08:07Z,1,1,0,0,Here's an article about the challenges faced by charter schools and some of the benefits too!
Fort Worth ISD,2009-02-03T02:52:21Z,0,0,0,0,Make plans now to attend Gospelfest on Thursday night.
Delsea Regional High School,2008-05-11T20:34:02Z,1,1,0,0,Thanks For Your Support.
Mobile County Public Schools,2009-06-22T09:57:48Z,0,0,0,0,"Be sure to check out our ""Events"" tab where we have added dates of upcoming events happening around the Mobile County Public School System and important dates from our Board-Approved School Calendar."
Bluff Dale ISD,2010-01-23T03:49:40Z,2,1,1,0,Bluff Dale vs. Morgan Mill...Final Basketball Games Monday @ 6:00 PM in Bluff Dale -Lady Bobcats followed by Bobcats. Come out & support our school!
Ozarks Technical Community College,2008-09-10T14:47:44Z,9,5,4,0,"Due to the inclement weather, all OTC Campuses and Regional Education Centers will be CLOSED, Saturday, January 30, 2010."
L'Anse Purple Hornet Football,2010-01-01T22:14:34Z,0,0,0,0,This is good! Check it out! http://www.5min.com/Video/How-to-Play-Football-Plyo-Box-Jumps-6184141
Middletown City Schools,2009-11-16T16:17:34Z,4,4,0,0,I'm a Middie and Proud! Click on the link below to discover why students love Middletown High School.
Gilroy High School,2009-09-19T21:11:09Z,0,0,0,0,"Junior Prom tickets go on sale Wednesday, February 3. Tickets will be $30, and you must have a bookroom clearance and your ID card to purchase."
Poolville ISD,2009-11-05T04:19:08Z,4,0,4,0,Varsity girls 38 Graford 40
U.S. Environmental Protection Agency,2008-12-15T05:42:30Z,8,8,0,0,Coming Monday! Live webcast of our 2010 budget announcement. We'll post a link here. You'll also be able to follow live tweets in English and Spanish.
Clearfield High School,2009-01-21T23:25:16Z,0,0,0,0,Hey Falcons! Check out the new Twitter Account for CHS!!
Aurora Public Schools,2009-04-14T18:09:02Z,0,0,0,0,Arkansas Students Raise Funds for Haiti
Mount Prospect School District 57,2009-10-02T19:18:08Z,0,0,0,0,Tech Club Member Sites
Hermiston School District 8R,2009-11-18T16:41:42Z,0,0,0,0,Want help applying for money for college? Attend College Goal Oregon. Saturday at the high school from 9 am to 2 pm. Visit http://www.collegegoaloregon.org/:=:https://www.collegegoaloregon.org/ for more information
Wolf Creek Online High School,2009-01-23T17:25:37Z,2,2,0,0,NA
L'Anse Purple Hornet Football,2010-01-01T22:14:34Z,0,0,0,0,http://www.complete40training.com/
Pace Center for Girls,2009-03-07T01:46:10Z,3,3,0,0,"Associate Attorney General Perrelli, Senators Announce Passage of Teen Dating Violence Awareness Month Resolution"
L'Anse Purple Hornet Football,2010-01-01T22:14:34Z,3,1,2,0,16 in the weightroom. Some regulars had other things to do today....no worries. Our fastest 40-yard was 5.2 sec. We will get faster!! Keep it up men!
ASU-Mountain Home,2008-09-04T14:30:11Z,14,0,14,0,What are you doing on your snow day?
Connections Academy,2008-11-26T00:41:14Z,7,4,3,0,Snack time! My favorite time of the day!
Georgia Department of Education,2009-05-07T19:50:06Z,4,4,0,0,GaDOE to Offer FREE Online High School Graduation Test Remediation - Learn more here: http://tinyurl.com/ExPreSSOnline:=:https://www.gadoe.org/pea_communications.aspx?ViewMode=1&obj=1912
Henry Ford Academy: Alameda School for Art + Design,2009-08-13T23:21:22Z,4,3,1,0,Congratulations to all the students who received awards at the Fall Awards Ceremony. Congrats to our Ollin Award reciepents; Victoria Morton and Nicholas Chavez. Also congratulations to Mr. Flores (Biology) our teacher of the semester.
Fort Worth ISD,2009-02-03T02:52:21Z,3,3,0,0,"The annual FWISD Gospelfest will be held this year in the Western Hills High School auditorium on Thursday, February 4th at 7:00 p.m. This popular music festival is free and includes the high school choirs in Fort Worth ISD."
Sweetwater Union High School District,2009-11-05T19:49:22Z,1,0,1,0,"Esteban Navarro, adviser for La Voz Azteca at Montgomery High, was among those that weighed in on a recent censorship settlement involving a local high school paper."
"Springfield Public Schools, Springfield, MO",2009-09-21T21:22:17Z,0,0,0,0,Event cancellations.
Illinois State Board of Education,2009-09-11T17:54:05Z,0,0,0,0,State Superintendent of Education Christopher A. Koch was honored by the Data Quality Campaign. Read the press release at http://www.isbe.state.il.us/news/2010/jan29.htm.
Harrisonville Schools,2009-12-07T21:04:47Z,1,1,0,0,"Are you an HHS alum? If so, become a fan of the Harrisonville Public School Foundation's Facebook page. Alumni info and updates will be posted there."
Harrisonville Schools,2009-12-07T21:04:47Z,5,5,0,0,"Next week is National School Counseling Week. Thank you to Mr. Graber, Mrs. Holden, Mrs. Stallbaumer, Mrs. Weatherspoon, Mrs. Johnston, Mrs. Laughlin, Mrs. Pike, and Mrs. Quinley for all you do!"
Facebook,2007-11-07T22:51:32Z,2370,1681,688,0,"Pulse from Davos: As world leaders gather at the World Economic Forum, people on Facebook are joining the discussion by answering public opinion polls. We are highlighting the second in a series of results: Will the global recession get worse? Yes: 47.3%, No: 31.5%, Not Sure: 21.2%"
Bryan ISD,2009-06-18T16:28:31Z,4,4,0,0,"The Rudder classes of 2011 & 2012 will host a silent auction at the last home boys basketball game Tues., Feb. 2. Some of the items include: Dallas Stars Hockey tickets, movie ticket basket, and a Benjamin Knox print. Proceeds will benefit the sophomore and junior classes. Bidding begins at 5:30 p.m. and will end at halftime. Winning bids will be announced before the game's end. Payment should be made at that time."
New York City Department of Education,2009-04-02T18:23:36Z,1,1,0,0,"If you're looking for fun things to do, check out This Weekend in NYC Parks!"
Newport News Public Schools,2009-03-25T13:10:32Z,0,0,0,0,"CORRECTION: Jan. 30 Peninsula District Swimming at Mid-Town Swim Center, rescheduled to Mon, Feb. 1, @ 5pm http://ow.ly/11UZd:=:http://www.nnschools.org/closings/"
New York City Department of Education,2009-04-02T18:23:36Z,14,14,0,0,Have a fun and safe weekend!
Enid Public Schools,2009-05-20T04:33:43Z,0,0,0,0,Evening & Weekend Cancellations: Friday - EHS basketball vs. Sand Springs Saturday - 9th grade basketball @ Ponca City
Kane County Regional Office of Education,2009-07-15T21:34:16Z,0,0,0,0,NA
Salem-Keizer Public Schools,2009-03-23T15:25:28Z,0,0,0,0,Just a reminder ... the Educator Fair is this Saturday at the Salem Conference Center. If you know anyone interested in being a teacher in our district ... tell them about the Fair: http://www.salemkeizer.org/content/recruiting-best-educator-fair-2010-sat-jan-30:=:https://salkeiz.k12.or.us/content/recruiting-best-educator-fair-2010-sat-jan-30
DC Public Schools,2009-12-17T16:21:02Z,0,0,0,0,"WEATHER ALERT: Saturday Scholars will take place as normal TOMORROW - Saturday, January 30, 2010. Check DCPS website - http://dcps.dc.gov - as weather changes for updates."
Duval County Public Schools,2009-05-21T17:55:27Z,5,4,1,0,"Every fourth- and fifth-grade student in Ms. Stacy Avera’s class at John E. Ford K-8 received a brand new pair of Reebox tennis shoes, thanks to the Jaguars Foundation."
Pulaski County Special School District,2010-01-12T16:48:17Z,3,3,0,0,Kudos to Oakbrooke Elementary students for helping in the Haiti relief efforts!
Sweetwater Union High School District,2009-11-05T19:49:22Z,0,0,0,0,"After the passing of JD Salinger, students and teachers from all over San Diego County, including Montgomery High teacher Caley O’Neil, discuss their impressions of the author and his most famous work - The Catcher in the Rye."
School District 54,2009-08-04T18:58:55Z,0,0,0,0,Registration for parent-paid preschool at Hoover and Collins begins Feb. 10.
Washtenaw Community College,2008-12-08T18:17:57Z,2,2,0,0,hopes WCC students and employees attending the 33rd annual Ann Arbor Folk Festival tonight and tomorrow have a great time and hear some good music.
Warren Consolidated Schools,2009-06-02T13:06:11Z,1,0,1,0,A message from the Superintendent... http://www.wcs.k12.mi.us/content/message/index.htm
Buna Beacon,2010-01-11T22:39:38Z,0,0,0,0,"This weekend: Lady Cougars have night off, Cougars on the road in Tarkington, while Rebels and Lady Rebels travel to Spurger. Saturday - 41st annual Lions Club Little Beauties pageant at 5 and 6:30 p.m. in the Buna elementary cafetorium. and bundle up!"
Salem-Keizer Public Schools,2009-03-23T15:25:28Z,0,0,0,0,"If you have any time to volunteer on February 12 & 13 for the ""Reading For All"" booth ... please help out: http://www.salemkeizer.org/content/volunteers-needed-reading-all-booth-literacy-conference-feb-12-13:=:https://salkeiz.k12.or.us/content/volunteers-needed-reading-all-booth-literacy-conference-feb-12-13"
Wauwatosa School District,2009-07-15T17:59:25Z,0,0,0,0,"Are you a parent/guardian of a fifth grader? Then you will want to make sure you are at an incoming sixth grade registration night at either Longfellow Middle School or Whitman Middle School. Longfellow registration will be Tuesday, Feb. 2 from 5-6:30 p.m. and 7-8:30 p.m. Whitman will hold its registration on Thursday, Feb. 4 starting at 6:30 p.m. See you there!"
Wauwatosa School District,2009-07-15T17:59:25Z,0,0,0,0,"Just a reminder that the junior kindergarten registration for the 2010-11 school year in the district is next week Tuesday, Feb. 2, from 1-7 p.m. at all Wauwatosa public schools. You can find more information about what you will need to bring to registration on the district's website."
Sojourner Truth Academy,2009-12-16T15:55:13Z,0,0,0,0,We've raised $75 on GiveMN.org to send STA students to the White House. Let's make it $700 by Feb1st! http://ow.ly/11TfV:=:http://givemn.razoo.com/story/Bring-The-White-House-To-Our-House
Little Rock School District,2008-12-15T15:02:21Z,0,0,0,0,LRSD History Day competition canceled
U.S. Environmental Protection Agency,2008-12-15T05:42:30Z,8,5,3,0,NA
Duluth Public Schools,2009-12-25T00:11:28Z,0,0,0,0,"Grand Rapids defeated visiting Duluth Denfeld 69-40 in a high school boys basketball game Thursday, despite 15 points from Corey Bolen and 13 from Race Leonard."
Duluth Public Schools,2009-12-25T00:11:28Z,0,0,0,0,Dyami Starks scored 29 points to lift Duluth East past Hermanown 80-66 in a high school boys basketball game Thursday. Teammates Johnny Woodard added 24 points and Nick Toland 16. The Greyhounds led 43-33 at halftime.
Newport News Public Schools,2009-03-25T13:10:32Z,2,2,0,0,"Closings & Cancellations: Jan 30 JV & Varsity Girls/Boys basketball games, Phoebus at Warwick, rescheduled to Mon, Feb 8. http://ow.ly/11SmP:=:http://www.nnschools.org/closings/"
Duluth Public Schools,2009-12-25T00:11:28Z,0,0,0,0,"Duluth Central defeated visiting Ashland 2-0 in a Lake Superior Conference high school boys hockey game Thursday, on the strength of a two-goal performance by junior forward Ben Wrazidlo and 14 saves by senior goaltender Bret Gitar. The Trojans (12-5-1) snapped a 10-game conference losing streak."
Duluth Public Schools,2009-12-25T00:11:28Z,0,0,0,0,The Duluth Northern Stars lost to traditional rival Cloquet 2-0 on Thursday at Heritage Arena. The Stars fell to 11-11-2 overall and 1-3-1 in the Lake Superior Conference.
Carroll ISD,2010-01-20T21:23:20Z,0,0,0,0,"Due to the pending weather temperature, all Carroll ISD Athletics outdoor activities for Friday, January 29 will be moved indoors or postponed. In the event of freezing precipitation, the district will make adjustments accordingly."
Ozarka College,2009-01-13T17:16:41Z,16,0,16,0,What are you doing on your Snow Day?
Chapel Hill-Carrboro City Schools,2009-07-27T14:48:50Z,0,0,0,0,CHCCS cancels after school and weekend events in face of inclement weather. Community Schools after-school program to operate today until 6 pm.
Chapel Hill-Carrboro City Schools,2009-07-27T14:48:50Z,0,0,0,0,AVID students participate in Alvin Ailey dance workshop. Details at http://tinyurl.com/ygkdmkl:=:http://www2.chccs.k12.nc.us/education/components/board/default.php?sectiondetailid=73134&postid=53207&#postid-53207
Buna Beacon,2010-01-11T22:39:38Z,4,0,4,0,"Report from courthouse - Desormeaux given 20 years (which is maximum) for injury to a child charge, and ordered to pay $10,000 fine. btw...DA said yesterday that they still plan on trying Crystal Desormeaux for injury to a child, though did not say when."
Ozarks Technical Community College,2008-09-10T14:47:44Z,4,0,4,0,"Due to the inclement weather, the Branson Education Center will be CLOSING at noon, Friday, January 29, 2010. All other OTC Campuses and Regional Education Centers will be CLOSING at 3 p.m., Friday, January 29, 2010."
K12,2007-12-06T04:08:40Z,63,18,45,0,Happy Friday to all of our enthusiastic and passionate families and friends! :) Any fun weekend plans in the works?
KIPP Colorado Public Schools,2009-06-17T20:45:05Z,0,0,0,0,has just concluded another successful Community Breakfast event. Mark your calendars for our next one that is set for Feb. 26th!
Derby Public Schools,2009-12-07T21:06:57Z,0,0,0,0,Athletic and activity cancellation information is available on the Derby Schools website: www.derbyschools.com.:=:https://www.derbyschools.com./ Specific questions about high school athletic events can be directed to the high school Athletic Office at (316) 788-8527.
BART Charter Public School,2009-08-05T02:20:56Z,9,8,1,0,"happily welcomed 4 new students this month. Wait! Here comes one more! That makes 5 more students. Welcome to the school, everyone."
Albuquerque Public Schools,2009-08-26T18:49:10Z,1,0,1,0,"A message from Superintendent Winston Brooks: ""I'd like to remind everyone to go vote in the APS School Improvements Election. Perhaps, like me, you have already voted. If you haven’t, early voting will be available through Saturday at several locations including the APS Administration Building on Uptown Blvd. Low voter turnout is always an issue in elections such as this, so I ask that you to take just a few minutes and either vote early today or tomorrow or make certain you go vote on Tuesday, Feb. 2."
Great Valley Academy - Modesto,2009-08-27T23:24:45Z,26,8,18,0,NA
Ripon Area School District,2009-10-23T16:13:09Z,0,0,0,0,RHS students are hosting their annual winter blood drive today at the high school. Photos coming soon.
Duluth Public Schools,2009-12-25T00:11:28Z,0,0,0,0,http://www.goduluthschools.com/?p=3577
Duluth Public Schools,2009-12-25T00:11:28Z,0,0,0,0,http://www.goduluthschools.com/?p=3570
Facing History and Ourselves,2008-04-29T21:00:52Z,2,2,0,0,NA
What's up at GHS,2009-10-30T01:17:09Z,0,0,0,0,NA
Heritage Elementary School Glendale,2009-07-29T20:29:18Z,0,0,0,0,"Happy Friday everyone! Please mark your calendars... next Thursday (Feb. 4th) is our ""Re-Enrollment"" night!!! Make sure to secure your child/children's space for the 2010/2011 school year."
Merrill Area Public Schools,2009-12-12T03:15:42Z,4,0,4,0,"A time of great excitement spreads across Merrill High School as The Force, a new school club, is starting. The main purpose of the new organization is to bring together students and staff from all ages and backgrounds who love everything Star Wars. Our first meeting will be Thursday February 4th @ 3:15 in the LGI."
Noah Webster Schools,2010-01-15T20:47:05Z,0,0,0,0,"Dads and Donuts order forms went home this week. Get yours turned in ASAP! Dads and Donuts is Friday, February 19th starting at 7:00 am. You won't want to miss it!"
Merrill Area Public Schools,2009-12-12T03:15:42Z,5,4,1,0,"Congratulations to the following top MathCounts students who have qualified for the Regional Competion: Morgan Thompson, Ashley Berton, Jesse Cannella, Sarah Lentz and Phoebe Osterhus and alternate McKinley Lentz. These students qualified for the Regional Competion and will be competing on Feb 6 at the University of Wisconsin Marathon County."
Wolf Creek Online High School,2009-01-23T17:25:37Z,0,0,0,0,"Congratulations to Marc Meyerhoff, Jake Sleva, and Chelsee Wahlquist! They completed their graduation requirements at the end of Term 2 (January 22, 2010)."
Derby Public Schools,2009-12-07T21:06:57Z,20,2,18,0,"While other areas, such as north Wichita, have experienced snow accumulation, Derby was fortunate to not have the same precipitation. Safety of our children is of utmost importance, so we followed our school cancellation guidelines and process to ensure safety. This document can be found at www.derbyschools.com.:=:https://www.derbyschools.com./ We also regret that a local media station originally reported that Derby Public Schools were closed. The station corrected the information as soon as we pointed out the error."
Delavan-Darien School District,2009-10-14T21:20:13Z,0,0,0,0,Janesville Gazette covers Turtle Creek's Wax Museum of Reading. Read the article and see additional photos at — http://bit.ly/waxmuseum:=:https://ddschools.wordpress.com/2010/01/29/wax-museum/
Delavan-Darien School District,2009-10-14T21:20:13Z,0,0,0,0,PHOTOS: Scenes from the elementary school concerts this month — http://bit.ly/ckYakw:=:https://ddschools.wordpress.com/2010/01/29/elementary-concerts/
Forest Grove School District,2009-11-13T05:01:00Z,0,0,0,0,"Students have a heart to help Haiti. Elementary kids are collecting ""Pennies For Haiti."" Tom McCall, Neil Armstrong and FGHS also have fund drives underway."
"Springfield Public Schools, Springfield, MO",2009-09-21T21:22:17Z,47,18,29,0,SPS students will be dismissed two hours early today. This decision was made to allow buses to avoid rush-hour traffic and to give them extra time to complete their afternoon routes. Individual schools will dismiss two hours before their regular dismissal time. Parents should be aware that traffic and road conditions may cause buses to be late in dropping off students.
Forest Grove School District,2009-11-13T05:01:00Z,0,0,0,0,Maybe this is just what you've been looking for:)
Forest Grove School District,2009-11-13T05:01:00Z,0,0,0,0,No school today K-12. It's a grading and staff development day.
Mount Prospect School District 57,2009-10-02T19:18:08Z,0,0,0,0,We've added news from Fairview's Technology Club to our news feed.
Westfield Washington Schools,2009-03-30T17:42:30Z,1,0,1,0,"The #WWS campus was briefly on external lockdown status today. Within a half hour, the campus was assured by Westfield police that the perimeter was clear and the buildings could return to normal operations."
Delavan-Darien School District,2009-10-14T21:20:13Z,0,0,0,0,PHOTOS: Turtle Creek's Wax Museum of Reading a big success in reading and fundraising. Pics and more at — http://bit.ly/waxmuseum:=:https://ddschools.wordpress.com/2010/01/29/wax-museum/
DC Public Schools,2009-12-17T16:21:02Z,2,2,0,0,"Attend a DCPS Open House! Jan 30: Anacostia SHS. Feb 2: Malcolm X ES, Turner @ Green ES. See full schedule at http://bit.ly/cuPeha:=:https://dcps.dc.gov/DCPS/Learn+About+Schools/Open+Houses"
Ozarks Technical Community College,2008-09-10T14:47:44Z,2,2,0,0,"New photos from yesterday's charitable campaign for Haiti have been posted! Check out our photo albums, and be sure to tag yourself!"
Spring Hill School District,2009-08-13T05:02:30Z,2,0,2,0,Basketball games for tonight have been cancelled!
Adlai E. Stevenson High School,2009-06-15T20:22:00Z,2,2,0,0,"Kudos to the varsity girls gymnastics team, which lost one of its top performers in warmups Thursday night -- and still won its third straight North Suburban Conference championship."
